userName,review,score,at
고은경,업데이트 이전으로 원복하라,1,2025-09-28 07:51:47
이정진,제발 부탁입니다 일반 채팅방과 오픈 채팅방 분리할수 있게 해주세요. 오픈 채팅방은 조용한 채팅 방으로 이동도 안되요. 하는 일 때문에 오픈 채팅방도 필요한 사람입니다 새 그룹을 만들면 빠지게 라도 해주세요. 진짜 미치겠습니다. 업무도 못하겠고 지인들 연락도 못 받습니다,5,2025-09-28 12:36:23
J다니엘,카톡 원래대로 돌려놔,1,2025-09-28 16:54:19
R님,업댓 이후 최악임,1,2025-09-28 19:14:02
김김진성,최악 생일 메인에 당장 없애 생일 생일 제발 없애줘,1,2025-09-28 19:38:57
김정환,진짜 업데이트 다시 원상복구합시다. 이게 뭡니까,1,2025-09-28 20:47:53
김영래,업데이트후 보기 불편함,1,2025-09-28 20:57:13
로또,바뀌보나서 별로야 전으로 돌려놔,1,2025-09-29 06:48:54
코이BJ,네이트온으로 갈아타자,1,2025-09-29 14:39:31
김현숙,최악의 업데이트 갠의견 물어보지도 않고 맘대로 강제로 적용시킴 진짜 불쾌함,1,2025-09-30 01:09:54
차yizhen,업데이트 이후 친구생일 알림 삭제가 없어졌네요! 알고 싶지 않은 생일 알림을 첫화면에서 매일 십여명 봐야 하는거 불편합니다! 원래 대로 돌려놔주세요.,4,2025-09-30 08:38:30
트리스,쓰레기 업댓 취소해랏,1,2025-09-30 18:07:02
최혜정,도대체 불편스럽게~~~ 업데이트가... 이상함 안봐도 되는 업뎃 친구는 왜 보게 만드는건지? 다시 원상태로돌려돌려...주삼!! 안쓰고 싶네 진짜~~ 별 하나도 안까움,1,2025-09-30 20:55:14
M Kim,정신못차린 정신아...탈퇴각,1,2025-09-30 20:59:49
임종혁,제발 이전으로 돌려주세요,1,2025-10-01 17:52:45
조쓰,사진 한번에 다운받기좀 해줘요. 카톡은 되는데 짱나게 하나씩 언제 다운 받냐,1,2025-10-01 22:03:03
코끼리와별,제발 사진올리는것들 안보이게 해주시면 안되나요....제가 왜 쓸데없는걸 봐야하나요.....정신없어요,1,2025-10-02 00:39:07
