userName,review,score,at,platform
김현숙,최악의 업데이트 갠의견 물어보지도 않고 맘대로 강제로 적용시킴 진짜 불쾌함,1,2025-09-30 01:09:54,Google Play Store
차yizhen,업데이트 이후 친구생일 알림 삭제가 없어졌네요! 알고 싶지 않은 생일 알림을 첫화면에서 매일 십여명 봐야 하는거 불편합니다! 원래 대로 돌려놔주세요.,4,2025-09-30 08:38:30,Google Play Store
트리스,쓰레기 업댓 취소해랏,1,2025-09-30 18:07:02,Google Play Store
최혜정,도대체 불편스럽게~~~ 업데이트가... 이상함 안봐도 되는 업뎃 친구는 왜 보게 만드는건지? 다시 원상태로돌려돌려...주삼!! 안쓰고 싶네 진짜~~ 별 하나도 안까움,1,2025-09-30 20:55:14,Google Play Store
M Kim,정신못차린 정신아...탈퇴각,1,2025-09-30 20:59:49,Google Play Store
Sang wan Kim,쉰카오톡,1,2025-09-30 23:51:04,Google Play Store
Chuing chu,"카카오톡처럼 편의성 기능 추가
원합니다..

1. 보낸 메시지 취소 or 수정
2. 차단 시 상대방에게 차단한 사용자로 메세지 보낼 수 없다는 알림 없게끔(지금은 상대방이 차단 당한 상태에서
메시지를 보내면 알림이 뜬다고 합니다. 따라서 상대방이 모르게끔 해주세요)
3. 상대방 프사 볼 수 있게끔 (클릭 가능하게끔)
4. 상대방 채팅방 이름 설정할 때 글자수 제한 없애주세요
5. 카카오톡처럼 대화방 나눠놓을 수 있게끔",3,2025-10-01 17:09:46,Apple App Store
신사동보안관,👎,1,2025-10-01 17:42:33,Google Play Store
임종혁,제발 이전으로 돌려주세요,1,2025-10-01 17:52:45,Google Play Store
조쓰,사진 한번에 다운받기좀 해줘요. 카톡은 되는데 짱나게 하나씩 언제 다운 받냐,1,2025-10-01 22:03:03,Google Play Store
코끼리와별,제발 사진올리는것들 안보이게 해주시면 안되나요....제가 왜 쓸데없는걸 봐야하나요.....정신없어요,1,2025-10-02 00:39:07,Google Play Store
케찹옥수수,사기입니다,1,2025-10-04 03:47:13,Google Play Store
박지율,"업데이트 이후인지 고객님께서 확인 했음에도 불구하고, 1이 사라지지 않아요.. 왜그러죠??",3,2025-10-04 17:53:47,Google Play Store
하하하맘,"1. 최근 업데이트 이후, 상대방이 읽었어도 1이 남아있어요. 2. 상대방이 챗을 남기거나, 내가 새글을 써도 채팅목록 내용이 바로 적용 안되고, 새로고침 해야하네요.",1,2025-10-04 19:26:18,Google Play Store
Paul Lee,새로운 버전 너무 불편하다.,1,2025-10-05 13:37:14,Google Play Store
정운철,카카오가 해킹 당한것 같습니다,2,2025-10-06 01:09:28,Google Play Store
최성호,최악,1,2025-10-06 17:25:10,Google Play Store
